Name,Address,City,State,Zip,Geocodio Latitude,Geocodio Longitude,Geocodio Accuracy Score,Geocodio Accuracy Type,Geocodio Address Line 1,Geocodio Address Line 2,Geocodio Address Line 3,Geocodio House Number,Geocodio Street,Geocodio Unit Type,Geocodio Unit Number,Geocodio City,Geocodio State,Geocodio County,Geocodio Postal Code,Geocodio Country,Geocodio Source
LA SALLE COUNTY REGIONAL DETENTION CENTER,832 EAST TEXAS STATE HIGHWAY 44,ENCINAL,TX,78019,28.045504,-99.336329,1,rooftop,832 E Texas State 44,,"Encinal, TX 78019",832,E Texas State 44,,,Encinal,TX,La Salle County,78019,US,Statewide (CC 0 Texas Natural Resources Information System)
LUBBOCK COUNTY DETENTION CENTER,811 MAIN STREET,LUBBOCK,TX,79401,33.585346,-101.843766,1,rooftop,811 Main St,,"Lubbock, TX 79401",811,Main St,,,Lubbock,TX,Lubbock County,79401,US,Lubbock
MADISON COUNTY JAIL,2935 HIGHWAY 51,CANTON,MS,39046,32.643209,-90.023299,1,range_interpolation,2935 US-51,,"Canton, MS 39046",2935,US-51,,,Canton,MS,Madison County,39046,US,TIGER/Line® dataset from the US Census Bureau
MAHONING COUNTY JAIL,110 FIFTH AVENUE,YOUNGSTOWN,OH,44503,41.104258,-80.655055,1,rooftop,110 5th Ave,,"Youngstown, OH 44503",110,5th Ave,,,Youngstown,OH,Mahoning County,44503,US,Mahoning
MARION COUNTY JAIL,695 JUSTICE WAY,INDIANAPOLIS,IN,46203,39.752767,-86.115896,1,rooftop,695 Justice Way,,"Indianapolis, IN 46203",695,Justice Way,,,Indianapolis,IN,Marion County,46203,US,Marion
MILLER COUNTY JAIL,2300 EAST STREET,TEXARKANA,AR,71854,33.401175,-94.022482,1,rooftop,2300 East St,,"Texarkana, AR 71854",2300,East St,,,Texarkana,AR,Miller County,71854,US,Arkansas Geographic Information Office
MINNEHAHA COUNTY JAIL,500 NORTH MINNESOTA AVENUE,SIOUX FALLS,SD,57104,43.552675,-96.730544,1,rooftop,500 N Minnesota Ave,,"Sioux Falls, SD 57104",500,N Minnesota Ave,,,Sioux Falls,SD,Minnehaha County,57104,US,City of Sioux Falls
MONROE COUNTY DETENTION-DORM,7000 EAST DUNBAR ROAD,MONROE,MI,48161,41.895571,-83.393282,1,rooftop,7000 E Dunbar Rd,,"Monroe, MI 48161",7000,E Dunbar Rd,,,Monroe,MI,Monroe County,48161,US,Semcog
MONTGOMERY COUNTY JAIL,PARK STREET,FONDA,NY,12068,42.952646,-74.375827,1,street_center,Park St,,"Fonda, NY 12068",,Park St,,,Fonda,NY,Montgomery County,12068,US,TIGER/Line® dataset from the US Census Bureau
SAIPAN DEPARTMENT OF CORRECTIONS (SUSUPE),"VICENTE T. SEMAN BLDG, CIVIC CENTER",SAIPAN,MP,96950,15.190983,145.746743,1,place,,,"Saipan, MP 96950",,,,,Saipan,MP,Saipan Municipality,96950,US,TIGER/Line® dataset from the US Census Bureau
MIAMI STAGING FACILITY,UNAVAILABLE,MIAMI,FL,33101,25.779298,-80.198739,1,place,,,"Miami, FL 33101",,,,,Miami,FL,Miami-Dade County,33101,US,TIGER/Line® dataset from the US Census Bureau
MOSHANNON VALLEY PROCESSING CENTER,555 GEO DRIVE,PHILIPSBURG,PA,16866,40.922608,-78.241697,1,rooftop,555 Geo Dr,,"Philipsburg, PA 16866",555,Geo Dr,,,Philipsburg,PA,Clearfield County,16866,US,Clearfield
MONTGOMERY ICE PROCESSING CENTER,806 HILBIG RD,CONROE,TX,77301,30.337099,-95.443385,1,rooftop,806 Hilbig Rd,,"Conroe, TX 77301",806,Hilbig Rd,,,Conroe,TX,Montgomery County,77301,US,Montgomery
MUSCATINE COUNTY JAIL,400 WALNUT STREET,MUSCATINE,IA,52761,41.424334,-91.044646,1,rooftop,400 Walnut St,,"Muscatine, IA 52761",400,Walnut St,,,Muscatine,IA,Muscatine County,52761,US,Muscatine Area Geographic Information Consortium Magic
NASSAU COUNTY CORRECTIONAL CENTER,100 CARMAN AVENUE,EAST MEADOW,NY,11554,40.735155,-73.552695,1,rooftop,100 Carman Ave,,"East Meadow, NY 11554",100,Carman Ave,,,East Meadow,NY,Nassau County,11554,US,"NYS GIS Program Office, State Geographic Information Officer (GIO)"
NIAGARA COUNTY JAIL,5526 NIAGARA STREET EXTENTION,LOCKPORT,NY,14094,43.180294,-78.737324,1,rooftop,5526 Niagara Street Ext,,"Lockport, NY 14094",5526,Niagara Street Ext,,,Lockport,NY,Niagara County,14094,US,"NYS GIS Program Office, State Geographic Information Officer (GIO)"
NORTH LAKE CORRECTIONAL FACILITY,1805 W 32ND ST,BALDWIN,MI,49304,43.929498,-85.832058,1,range_interpolation,1805 W 32nd St,,"Baldwin, MI 49304",1805,W 32nd St,,,Baldwin,MI,Lake County,49304,US,TIGER/Line® dataset from the US Census Bureau
NEVADA SOUTHERN DETENTION CENTER,2190 EAST MESQUITE AVENUE,PAHRUMP,NV,89060,36.249613,-115.975134,1,rooftop,2190 E Mesquite Ave,,"Pahrump, NV 89060",2190,E Mesquite Ave,,,Pahrump,NV,Nye County,89060,US,Nye
NEW HANOVER COUNTY JAIL,3950 JUVENILE RD,CASTLE HAYNE,NC,28429,34.326678,-77.896008,0.9,rooftop,3950 Juvenile Center Rd,,"Castle Hayne, NC 28429",3950,Juvenile Center Rd,,,Castle Hayne,NC,New Hanover County,28429,US,New Hanover
NORTHWEST REGIONAL CORRECTIONS CENTER,"816 MARIN AVE., SUITE 110",CROOKSTON,MN,56716,47.768853,-96.628509,1,rooftop,816 Marin Ave,Ste 110,"Crookston, MN 56716",816,Marin Ave,Ste,110,Crookston,MN,Polk County,56716,US,Statewide MN
CORR. CTR OF NORTHWEST OHIO,"3151 ROAD 24.25, ROUTE 1",STRYKER,OH,43557,41.518349,-83.884,0.75,nearest_rooftop_match,3161 County Rd 1,,"Swanton, OH 43558",3161,County Rd 1,,,Swanton,OH,Fulton County,43558,US,Fulton
CIMMARRON CORR FACILITY,3700 S. KINGS HWY,CUSHING,OK,74023,35.973592,-96.784917,0.7,street_center,S Kings Hwy,,"Cushing, OK 74023",,S Kings Hwy,,,Cushing,OK,Payne County,74023,US,TIGER/Line® dataset from the US Census Bureau
OLDHAM COUNTY DETENTION CENTER,3405 W HWY 146,LA GRANGE,KY,40031,38.388995,-85.423035,1,rooftop,3405 W 146,,"La Grange, KY 40031",3405,W 146,,,La Grange,KY,Oldham County,40031,US,Oldham
ORANGE COUNTY JAIL (FL),3855 SOUTH JOHN YOUNG PARKWAY,ORLANDO,FL,32839,28.50353,-81.416856,1,rooftop,3855 S John Young Pkwy,,"Orlando, FL 32839",3855,S John Young Pkwy,,,Orlando,FL,Orange County,32839,US,Orange County (Public Domain Orange County)
ORANGE COUNTY JAIL (NY),110 WELLS FARM ROAD,GOSHEN,NY,10924,41.40424,-74.360625,1,rooftop,110 Wells Farm Rd,,"Goshen, NY 10924",110,Wells Farm Rd,,,Goshen,NY,Orange County,10924,US,"NYS GIS Program Office, State Geographic Information Officer (GIO)"
OTERO COUNTY PROCESSING CENTER,26 MCGREGOR RANGE ROAD,CHAPARRAL,NM,88081,32.080372,-106.281726,1,rooftop,26 McGregor Range Rd,,"Chaparral, NM 88081",26,McGregor Range Rd,,,Chaparral,NM,Otero County,88081,US,Statewide NM
OZARK COUNTY SHERIFF'S OFFICE,1818 COUNTY ROAD 806,GAINESVILLE,MO,65655,36.598747,-92.445448,0.7,street_center,Old Hwy 160,,"Gainesville, MO 65655",,Old Hwy 160,,,Gainesville,MO,Ozark County,65655,US,TIGER/Line® dataset from the US Census Bureau
PICKENS COUNTY DET CTR,188 CEMETERY ST,CARROLLTON,AL,35447,33.229886,-88.25614,0.88,range_interpolation,188 Old Carrollton Rd,,"Pickensville, AL 35447",188,Old Carrollton Rd,,,Pickensville,AL,Pickens County,35447,US,TIGER/Line® dataset from the US Census Bureau
PENNINGTON COUNTY JAIL (SOUTH DAKOTA),300 KANSAS CITY STREET NONE,RAPID CITY,SD,57701,44.078308,-103.222002,1,rooftop,300 Kansas City St,,"Rapid City, SD 57701",300,Kansas City St,,,Rapid City,SD,Pennington County,57701,US,Statewide SD
PHELPS COUNTY JAIL (MO),301 W. 2ND,ROLLA,MO,65401,37.945521,-91.772638,1,range_interpolation,301 W 2nd St,,"Rolla, MO 65401",301,W 2nd St,,,Rolla,MO,Phelps County,65401,US,TIGER/Line® dataset from the US Census Bureau
PHELPS COUNTY JAIL (NE),715 5TH AVENUE,HOLDREGE,NE,68949,40.4395,-99.370609,1,rooftop,715 5th Ave,,"Holdrege, NE 68949",715,5th Ave,,,Holdrege,NE,Phelps County,68949,US,Phelps
PORT ISABEL SPC,27991 BUENA VISTA BOULEVARD,LOS FRESNOS,TX,78566,26.148689,-97.350707,0.7,street_center,Buena Vista Blvd,,"Los Fresnos, TX 78566",,Buena Vista Blvd,,,Los Fresnos,TX,Cameron County,78566,US,TIGER/Line® dataset from the US Census Bureau
PIKE COUNTY JAIL,175 PIKE COUNTY BOULEVARD,LORDS VALLEY,PA,18428,41.389076,-75.071227,1,rooftop,175 Pike County Blvd,,"Hawley, PA 18428",175,Pike County Blvd,,,Hawley,PA,Pike County,18428,US,Pike
