Name,Address,City,State,Zip,Geocodio Latitude,Geocodio Longitude,Geocodio Accuracy Score,Geocodio Accuracy Type,Geocodio Address Line 1,Geocodio Address Line 2,Geocodio Address Line 3,Geocodio House Number,Geocodio Street,Geocodio Unit Type,Geocodio Unit Number,Geocodio City,Geocodio State,Geocodio County,Geocodio Postal Code,Geocodio Country,Geocodio Source
HILLSBOROUGH COUNTY JAIL,1201 NORTH ORIENT ROAD,TAMPA,FL,33619,27.95939174,-82.37133912,,,,,,,,,,,,,,,
IRWIN COUNTY DETENTION CENTER,132 COTTON DRIVE,OCILLA,GA,31772,31.58002115,-83.25495611,,,,,,,,,,,,,,,
LAWRENCE COUNTY,80 SHERMAN STREET,DEADWOOD,SD,57732,44.37440058,-103.7295906,,,,,,,,,,,,,,,
MARTIN COUNTY JAIL,800 SOUTHEAST MONTEREY ROAD,STUART,FL,34994,27.17021575,-80.24175384,,,,,,,,,,,,,,,
POLK COUNTY JAIL,2390 BOB PHILIPS ROAD,BARTOW,FL,33830,27.88140606,-81.81964424,,,,,,,,,,,,,,,
RAPPAHANNOCK REGIONAL JAIL,1745 JEFFERSON DAVIS HIGHWAY,STAFFORD,VA,22554,38.40667795,-77.42156502,,,,,,,,,,,,,,,
ROANOKE CITY JAIL,340 CAMPBELL AVENUE SOUTHWEST,ROANOKE,VA,24016,37.27150059,-79.94619747,,,,,,,,,,,,,,,
SIOUX COUNTY JAIL,4363 IRONWOOD AVENUE,ORANGE CITY,IA,51041,43.01871295,-96.07625461,,,,,,,,,,,,,,,
VAL VERDE CORRECTIONAL FACILITY,253 FARM TO MARKET 2523,DEL RIO,TX,78840,29.37327462,-100.8472126,,,,,,,,,,,,,,,
WEBER COUNTY JAIL,721 WEST 12TH STREET,OGDEN,UT,84404,41.24036336,-111.9927773,,,,,,,,,,,,,,,
WESTERN TENNESSEE DETENTION FACILITY,6299 FINDE NAIFEH DRIVE,MASON,TN,38049,35.40816113,-89.54782953,,,,,,,,,,,,,,,
SAN DIEGO DISTRICT STAGING,US INS DETENTION & DEPORTATION,SAN DIEGO,CA,92101,32.71337347,-117.1637458,,,,,,,,,,,,,,,
MCCOOK DETENTION CENTER,2309 N HIGHWAY 83,MCCOOK,NE,69001,40.22814254,-100.6484272,,,,,,,,,,,,,,,
DAVIESS COUNTY DETENTION,3337 HIGHWAY 144,OWENSBORO,KY,42303,37.78681612,-87.07014901,,,,,,,,,,,,,,,
MIAMI CORRECTIONAL CENTER,3038 WEST 850 SOUTH P.O. BOX 900,BUNKERHILL,IN,46914,40.64458261,-86.13198064,,,,,,,,,,,,,,,
FULTON CO JAIL INDIANA,2006 SWEETGUM RD,ROCHESTER,IN,46975,41.05243696,-86.23102217,,,,,,,,,,,,,,,
ADAMS COUNTY CORRECTIONAL CENTER,20 HOBO FORK RD.,NATCHEZ,MS,39120,31.555529,-91.219999,1,rooftop,20 Hobo Fork Rd,,"Natchez, MS 39120",20,Hobo Fork Rd,,,Natchez,MS,Adams County,39120,US,Adams
BALDWIN COUNTY CORRECTIONAL CENTER,200 HAND AVE,BAY MINETTE,AL,36507,30.88548923,-87.77485838,,,,,,,,,,,,,,,
CALIFORNIA CITY IMMIGRATION PROCESSING CENTER,22844 VIRGINIA BOULEVARD,CALIFORNIA CITY,CA,93505,35.15194302,-117.8583085,,,,,,,,,,,,,,,
"CASCADE COUNTY JAIL, MT",3800 ULM NORTH FRONTAGE ROAD,GREAT FALLS,MT,59404,47.46914732,-111.3669748,,,,,,,,,,,,,,,
CHAVEZ DETENTION CENTER,3701 S. ATKINSON,ROSWELL,NM,88201,33.35171676,-104.5038307,,,,,,,,,,,,,,,
FARMVILLE DETENTION CENTER,508 WATERWORKS ROAD,FARMVILLE,VA,23901,37.32058,-78.440928,1,rooftop,508 Water Works Rd,,"Farmville, VA 23901",508,Water Works Rd,,,Farmville,VA,Prince Edward County,23901,US,Virginia Geographic Information Network (VGIN)
KARNES COUNTY CORRECTIONAL CENTER,810 COMMERCE STREET,KARNES CITY,TX,78118,28.88365605,-97.91132479,,,,,,,,,,,,,,,
LARAMIE COUNTY JAIL,1910 PIONEER AVENUE,CHEYENNE,WY,82001,41.13505818,-104.8188436,,,,,,,,,,,,,,,
MINICASSIA DETENTION CENTER,1415 ALBION AVENUE,BURLEY,ID,83318,42.53508065,-113.7904778,,,,,,,,,,,,,,,
SCOTT COUNTY DET. FACILITY,416 W 4TH ST,DAVENPORT,IA,52801,41.5240485,-90.57945436,,,,,,,,,,,,,,,
CAMBRIA COUNTY PRISON,425 MANOR DRIVE,EBENSBURG,PA,15931,40.48594747,-78.69111782,,,,,,,,,,,,,,,
DIAMONDBACK CORR FACILITY,"ROUTE 2, BOX 336",WATONGA,OK,73772,35.88736259,-98.39846685,,,,,,,,,,,,,,,
NORTH CENTRAL REGIONAL JAIL,#1 LOIS LANE,GREENWOOD,WV,26415,39.28131983,-80.8531353,,,,,,,,,,,,,,,
SOUTHERN REGIONAL,1200 AIRPORT RD,BEAVER,WV,25813,37.77108504,-81.11617722,,,,,,,,,,,,,,,
SOUTHWESTERN REGIONAL JAIL,13 GASTON CAPERTON DR.,HOLDEN,WV,25625,37.80588759,-82.09600621,,,,,,,,,,,,,,,
WESTERN REGIONAL JAIL AND CORRECTIONAL FACILITY,1 O�HANLON PL,BARBOURSVILLE,WV,25504,38.41880617,-82.29319886,,,,,,,,,,,,,,,
LEWISBURG US PENITENTIARY,P.O. BOX 1000,LEWISBURG,PA,17837,40.96750163,-76.90922788,,,,,,,,,,,,,,,
LAFAYETTE PARISH CORRECTIONAL CENTER,916 LAFAYETTE STREET,LAFAYETTE,LA,70501,30.2235844,-92.0214211,,,,,,,,,,,,,,,
SARASOTA COUNTY JAIL,2020 MAIN ST,SARASOTA,FL,34237,27.33628153,-82.52979388,,,,,,,,,,,,,,,
TOM GREEN COUNTY JAIL,122 WEST HARRIS AVENUE,SAN ANGELO,TX,76903,31.49812227,-100.3669271,,,,,,,,,,,,,,,
DILLEY PROCESSING SINGLE ADULT FEMALE,300 EL RANCHO WAY,DILLEY,TX,78017,28.658454,-99.200878,,,,,,,,,,,,,,,
BAKER CORRECTIONAL INSTITUTION,20706 US 90 W,SANDERSON,FL,32087,30.21513623,-82.37386061,,,,,,,,,,,,,,,
FLORIDA SOFT-SIDED FACILITY,54575 TAMIAMI TRL E,OCHOPEE,FL,34141,25.86807479,-80.8995249,,,,,,,,,,,,,,,
FLAGLER COUNTY JAIL,1002 JUSICE LANE,BUNNELL,FL,32110,29.45261927,-81.25599865,,,,,,,,,,,,,,,
LIBERTY COUNTY JAIL,12499 NW POGO ST PO BOX 67,BRISTOL,FL,32321,30.43409396,-84.96867432,,,,,,,,,,,,,,,
MIDWEST REGIONAL RECEPTION CENTER,100 HIGHWAY TERRACE,LEAVENWORTH,KS,66048,39.27203591,-94.89162806,,,,,,,,,,,,,,,
ST. LUCIE COUNTY JAIL,900 N. ROCK RD.,FORT PIERCE,FL,34945,27.45338754,-80.40996413,,,,,,,,,,,,,,,
KANSAS CITY HOLDROOM,9747 NW CONANT AVENUE,KANSAS CITY,MO,64153,39.2688899113831,-94.675398831359,,,,,,,,,,,,,,,
JTF CAMP SIX,AVENUE C PSC 1005 BOX 55,FPO,FL,34009,,,,,,,,,,,,,,,,,
GUAYNABO MDC (SAN JUAN),HWY 28 INTSECT OF ROAD 165,SAN JUAN,PR,939,,,,,,,,,,,,,,,,,
NORTHWESTERN REGIONAL JUVENILE DETENTION CENTER,145 FT COLLIER RD,WINCHESTER,VA,22603,39.2019560987414,-78.1442435108652,,,,,,,,,,,,,,,
